rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,snapshot_date_extracted,arena_elo
32,34.0,Deepseek-v2.5,1258.0,+3/-4,26353,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,2025-01-22,
32,24.0,Llama-3.3-70B-Instruct,1256.0,+6/-5,15711,Meta,Llama-3.3,Unknown,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2025-01-22,
33,39.0,Qwen2.5-72B-Instruct,1257.0,+3/-4,40070,Alibaba,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/,2025-01-22,
34,23.0,GPT-4-Turbo-2024-04-09,1256.0,+3/-2,102127,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4,2025-01-22,
36,28.0,Mistral-Large-2407,1252.0,+3/-3,48209,Mistral,Mistral Research,2024/7,https://mistral.ai/news/mistral-large-2407/,2025-01-22,
36,39.0,Athene-70B,1250.0,+4/-4,20620,NexusFlow,CC-BY-NC-4.0,2024/7,https://huggingface.co/Nexusflow/Athene-70B,2025-01-22,
39,26.0,GPT-4-1106-preview,1250.0,+2/-3,103733,OpenAI,Proprietary,2023/4,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,2025-01-22,
39,43.0,Llama-3.1-Tulu-3-70B,1244.0,+9/-8,3029,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B,2025-01-22,
40,45.0,Meta-Llama-3.1-70B-Instruct,1248.0,+3/-3,58789,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-01-22,
40,24.0,Claude 3 Opus,1247.0,+2/-2,202735,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-01-22,
41,30.0,GPT-4-0125-preview,1245.0,+3/-3,97076,OpenAI,Proprietary,2023/12,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,2025-01-22,
41,45.0,Amazon Nova Pro 1.0,1244.0,+4/-6,13149,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-01-22,
41,42.0,Mistral-Large-2411,1243.0,+5/-4,10831,Mistral,MRL,Unknown,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,2025-01-22,
45,48.0,Yi-Large-preview,1240.0,+3/-4,51657,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B,2025-01-22,
45,25.0,Claude 3.5 Haiku (20241022),1238.0,+5/-7,10995,Anthropic,Propretary,Unknown,https://www.anthropic.com/news/3-5-models-and-computer-use,2025-01-22,
46,45.0,Reka-Core-20240904,1235.0,+5/-7,7940,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-01-22,
50,48.0,Reka-Core-20240722,1230.0,+4/-4,13295,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-01-22,
50,45.0,Qwen-Plus-0828,1227.0,+5/-5,14631,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/model-studio/getting-started/models,2025-01-22,
50,48.0,Gemini-1.5-Flash-001,1227.0,+4/-3,65648,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash,2025-01-22,
52,45.0,Jamba-1.5-Large,1221.0,+6/-6,9124,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba,2025-01-22,
53,58.0,Qwen2.5-Coder-32B-Instruct,1217.0,+8/-6,5731,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,2025-01-22,
54,45.0,Gemma-2-27B-it,1220.0,+3/-2,72521,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it,2025-01-22,
54,48.0,Deepseek-v2-API-0628,1220.0,+4/-4,19516,DeepSeek AI,DeepSeek,Unknown,https://platform.deepseek.com/api-docs/updates#deepseek-chat,2025-01-22,
54,67.0,Amazon Nova Lite 1.0,1218.0,+5/-5,10969,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-01-22,
55,48.0,Gemma-2-9B-it-SimPO,1216.0,+6/-4,10555,Princeton,MIT,2024/7,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO,2025-01-22,
55,49.0,Command R+ (08-2024),1215.0,+6/-5,10547,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details,2025-01-22,
55,51.0,Deepseek-Coder-v2-0724,1214.0,+6/-6,11727,DeepSeek,Proprietary,Unknown,https://platform.deepseek.com/api-docs/updates/#version-2024-07-24,2025-01-22,
55,45.0,Llama-3.1-Nemotron-51B-Instruct,1211.0,+9/-11,3897,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3_1-Nemotron-51B-Instruct,2025-01-22,
55,62.0,Phi-4,1210.0,+9/-10,3077,Microsoft,MIT,Unknown,https://huggingface.co/microsoft/phi-4,2025-01-22,
56,55.0,Yi-Large,1213.0,+4/-4,16634,01 AI,Proprietary,Unknown,https://platform.01.ai/docs#models-and-pricing,2025-01-22,
57,69.0,Gemini-1.5-Flash-8B-001,1212.0,+4/-3,36286,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b,2025-01-22,
58,67.0,Aya-Expanse-32B,1209.0,+4/-3,27096,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-32b,2025-01-22,
59,55.0,Nemotron-4-340B-Instruct,1209.0,+4/-4,20609,Nvidia,NVIDIA Open Model,2023/6,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct,2025-01-22,
59,62.0,GLM-4-0520,1207.0,+6/-6,10214,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/dev/api#language,2025-01-22,
60,57.0,Reka-Flash-20240904,1205.0,+6/-6,8129,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-01-22,
63,57.0,Llama-3-70B-Instruct,1206.0,+2/-2,163792,Meta,Llama 3 Community,2023/12,https://llama.meta.com/llama3/,2025-01-22,
64,75.0,Gemini-1.5-Flash-8B-Exp-0827,1205.0,+3/-5,25358,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash-8b-exp-0827,2025-01-22,
65,68.0,Reka-Flash-20240722,1201.0,+5/-4,13732,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-01-22,
68,55.0,Claude 3 Sonnet,1201.0,+2/-2,113032,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-01-22,
68,71.0,Reka-Core-20240501,1200.0,+3/-3,62593,Reka AI,Proprietary,Unknown,https://www.reka.ai/news/reka-core-our-frontier-class-multimodal-language-model,2025-01-22,
68,84.0,Amazon Nova Micro 1.0,1197.0,+6/-6,11059,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-01-22,
72,85.0,Hunyuan-Standard-256K,1189.0,+10/-10,2902,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-01-22,
76,69.0,Gemma-2-9B-it,1191.0,+3/-2,50349,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it,2025-01-22,
76,68.0,Command R+ (04-2024),1190.0,+2/-2,80862,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r-plus-microsoft-azure/,2025-01-22,
76,86.0,Llama-3.1-Tulu-3-8B,1185.0,+9/-11,3081,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B,2025-01-22,
77,68.0,Qwen2-72B-Instruct,1187.0,+3/-3,38887,Alibaba,Qianwen LICENSE,2024/6,https://qwenlm.github.io/blog/qwen2/,2025-01-22,
77,51.0,GPT-4-0314,1186.0,+3/-3,55965,OpenAI,Proprietary,2021/9,https://openai.com/research/gpt-4,2025-01-22,
77,83.0,GLM-4-0116,1183.0,+7/-7,7582,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/,2025-01-22,
77,85.0,Ministral-8B-2410,1182.0,+8/-6,5112,Mistral,MRL,Unknown,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,2025-01-22,
78,85.0,Aya-Expanse-8B,1180.0,+7/-5,8888,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-8b,2025-01-22,
79,78.0,Qwen-Max-0428,1183.0,+3/-4,25706,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/dashscope/developer-reference/api-details,2025-01-22,
79,71.0,Command R (08-2024),1180.0,+6/-5,10847,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details,2025-01-22,
80,68.0,DeepSeek-Coder-V2-Instruct,1178.0,+5/-5,15752,DeepSeek AI,DeepSeek License,2024/6,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,2025-01-22,
81,73.0,Claude 3 Haiku,1179.0,+2/-2,122294,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-01-22,
81,85.0,Jamba-1.5-Mini,1176.0,+6/-6,9269,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba,2025-01-22,
83,106.0,Meta-Llama-3.1-8B-Instruct,1176.0,+2/-3,52654,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-01-22,
92,87.0,Reka-Flash-Preview-20240611,1165.0,+4/-4,20421,Reka AI,Proprietary,Unknown,https://docs.reka.ai/http-api.html#generation,2025-01-22,
92,67.0,GPT-4-0613,1163.0,+2/-3,91642,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,2025-01-22,
92,85.0,Qwen1.5-110B-Chat,1161.0,+3/-4,27462,Alibaba,Qianwen LICENSE,2024/4,https://qwenlm.github.io/blog/qwen1.5-110b/,2025-01-22,
92,127.0,QwQ-32B-Preview,1153.0,+10/-10,3414,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B-Preview,2025-01-22,
93,106.0,Yi-1.5-34B-Chat,1157.0,+4/-3,25128,01 AI,Apache-2.0,2024/5,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,2025-01-22,
93,87.0,Reka-Flash-21B-online,1156.0,+6/-6,16033,Reka AI,Proprietary,Online,https://docs.reka.ai/http-api.html#generation,2025-01-22,
94,85.0,Mistral-Large-2402,1157.0,+3/-2,64920,Mistral,Proprietary,Unknown,https://mistral.ai/news/mistral-large/,2025-01-22,
96,97.0,Llama-3-8B-Instruct,1152.0,+2/-2,109215,Meta,Llama 3 Community,2023/3,https://llama.meta.com/llama3/,2025-01-22,
96,116.0,InternLM2.5-20B-chat,1149.0,+5/-6,10601,InternLM,Other,2024/8,https://huggingface.co/internlm/internlm2_5-20b-chat,2025-01-22,
97,85.0,Claude-1,1149.0,+4/-4,21162,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/introducing-claude,2025-01-22,
97,92.0,Command R (04-2024),1149.0,+3/-3,56371,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r,2025-01-22,
97,97.0,Mistral Medium,1148.0,+3/-3,35557,Mistral,Proprietary,Unknown,https://mistral.ai/news/la-plateforme/,2025-01-22,
97,96.0,Reka-Flash-21B,1148.0,+5/-3,25805,Reka AI,Proprietary,2023/11,https://www.reka.ai/news/reka-flash-efficient-and-capable-multimodal-language-models,2025-01-22,
97,90.0,Mixtral-8x22b-Instruct-v0.1,1148.0,+3/-3,53790,Mistral,Apache 2.0,2024/4,https://mistral.ai/news/mixtral-8x22b/,2025-01-22,
97,92.0,Qwen1.5-72B-Chat,1147.0,+3/-4,40639,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-01-22,
97,100.0,Granite-3.1-8B-Instruct,1139.0,+13/-10,2583,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct,2025-01-22,
100,117.0,Gemma-2-2b-it,1142.0,+3/-3,41950,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it,2025-01-22,
108,92.0,Claude-2.0,1132.0,+5/-6,12757,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/claude-2,2025-01-22,
108,90.0,Gemini-1.0-Pro-001,1131.0,+5/-5,18796,Google,Proprietary,2023/4,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro,2025-01-22,
108,105.0,Zephyr-ORPO-141b-A35b-v0.1,1127.0,+8/-9,4859,HuggingFace,Apache 2.0,2024/4,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,2025-01-22,
108,110.0,Qwen1.5-32B-Chat,1125.0,+3/-3,22768,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5-32b/,2025-01-22,
108,87.0,Mistral-Next,1124.0,+5/-5,12376,Mistral,Proprietary,Unknown,https://chat.mistral.ai/chat,2025-01-22,
109,119.0,Granite-3.1-2B-Instruct,1117.0,+10/-10,2604,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-2b-instruct,2025-01-22,
111,116.0,Phi-3-Medium-4k-Instruct,1123.0,+3/-3,26110,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,2025-01-22,
111,127.0,Starling-LM-7B-beta,1119.0,+4/-4,16672,Nexusflow,Apache-2.0,2024/3,https://huggingface.co/Nexusflow/Starling-LM-7B-beta,2025-01-22,
112,105.0,Claude-2.1,1118.0,+3/-3,37700,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/claude-2-1,2025-01-22,
112,103.0,GPT-3.5-Turbo-0613,1117.0,+4/-3,38946,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5,2025-01-22,
115,123.0,Yi-34B-Chat,1111.0,+6/-6,15920,01 AI,Yi License,2023/6,https://huggingface.co/01-ai/Yi-34B-Chat,2025-01-22,
115,109.0,Claude-Instant-1,1111.0,+4/-4,20620,Anthropic,Proprietary,Unknown,https://www.anthropic.com/index/introducing-claude,2025-01-22,
115,104.0,Gemini Pro,1110.0,+7/-6,6559,Google,Proprietary,2023/4,https://blog.google/technology/ai/gemini-api-developers-cloud/,2025-01-22,
117,118.0,Mixtral-8x7B-Instruct-v0.1,1114.0,+0/-0,76140,Mistral,Apache 2.0,2023/12,https://mistral.ai/news/mixtral-of-experts/,2025-01-22,
117,92.0,GPT-3.5-Turbo-0314,1106.0,+8/-8,5645,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5,2025-01-22,
119,120.0,Qwen1.5-14B-Chat,1109.0,+4/-4,18671,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-01-22,
119,120.0,WizardLM-70B-v1.0,1106.0,+5/-6,8380,Microsoft,Llama 2 Community,2023/8,https://huggingface.co/WizardLM/WizardLM-70B-V1.0,2025-01-22,
119,103.0,GPT-3.5-Turbo-0125,1106.0,+3/-3,68863,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5-turbo,2025-01-22,
119,125.0,Meta-Llama-3.2-3B-Instruct,1103.0,+6/-7,8409,Meta,Llama 3.2,2023/12,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,2025-01-22,
119,125.0,Tulu-2-DPO-70B,1099.0,+8/-6,6663,AllenAI/UW,AI2 ImpACT Low-risk,2023/11,https://huggingface.co/allenai/tulu-2-dpo-70b,2025-01-22,
121,117.0,DBRX-Instruct-Preview,1103.0,+4/-4,33731,Databricks,DBRX LICENSE,2023/12,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,2025-01-22,
