rank,rank_stylectrl,model,arena_score,95_pct_ci,votes,organization,license,knowledge_cutoff,url,snapshot_date_extracted,arena_elo
1,1.0,Gemini-2.5-Pro-Exp-03-25,1439.0,+6/-5,10389,Google,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-pro-exp-03-25,2025-04-24,
2,1.0,o3-2025-04-16,1418.0,+14/-9,2211,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/,2025-04-24,
2,3.0,ChatGPT-4o-latest (2025-03-26),1408.0,+6/-5,9229,OpenAI,Proprietary,Unknown,https://x.com/OpenAI/status/1905331956856050135,2025-04-24,
3,5.0,Grok-3-Preview-02-24,1402.0,+4/-5,14840,xAI,Proprietary,Unknown,https://x.ai/blog/grok-3,2025-04-24,
3,5.0,Gemini-2.5-Flash-Preview-04-17,1393.0,+10/-7,4073,Google,Proprietary,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemini-2.5-flash-preview-04-17,2025-04-24,
4,3.0,GPT-4.5-Preview,1398.0,+4/-5,15285,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-gpt-4-5/,2025-04-24,
7,13.0,Gemini-2.0-Flash-Thinking-Exp-01-21,1380.0,+4/-4,26903,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-thinking-exp-01-21,2025-04-24,
7,6.0,Gemini-2.0-Pro-Exp-02-05,1380.0,+5/-3,20125,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-pro-exp-02-05,2025-04-24,
7,5.0,DeepSeek-V3-0324,1373.0,+6/-7,6792,DeepSeek,MIT,Unknown,https://api-docs.deepseek.com/news/news250325,2025-04-24,
9,5.0,GPT-4.1-2025-04-14,1363.0,+10/-9,2927,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
10,7.0,DeepSeek-R1,1358.0,+5/-4,16857,DeepSeek,MIT,Unknown,https://api-docs.deepseek.com/news/news250120,2025-04-24,
10,17.0,Gemini-2.0-Flash-001,1354.0,+3/-3,23060,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys-1121&model=gemini-2.0-flash-001,2025-04-24,
10,5.0,o4-mini-2025-04-16,1351.0,+10/-10,2070,OpenAI,Proprietary,Unknown,https://openai.com/index/introducing-o3-and-o4-mini/,2025-04-24,
12,6.0,o1-2024-12-17,1350.0,+4/-3,29044,OpenAI,Proprietary,Unknown,https://openai.com/index/o1-and-new-tools-for-developers/,2025-04-24,
14,17.0,Gemma-3-27B-it,1342.0,+4/-5,10735,Google,Gemma,Unknown,http://aistudio.google.com/app/prompts/new_chat?model=gemma-3-27b-it,2025-04-24,
14,17.0,Qwen2.5-Max,1340.0,+4/-4,22105,Alibaba,Proprietary,Unknown,https://qwenlm.github.io/blog/qwen2.5-max/,2025-04-24,
15,14.0,o1-preview,1335.0,+2/-3,33172,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1,2025-04-24,
18,17.0,o3-mini-high,1325.0,+4/-4,18934,OpenAI,Proprietary,Unknown,https://platform.openai.com/docs/guides/reasoning#reasoning-effort,2025-04-24,
18,16.0,GPT-4.1-mini-2025-04-14,1322.0,+9/-13,2700,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
18,21.0,DeepSeek-V3,1318.0,+4/-4,22828,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V3,2025-04-24,
19,27.0,QwQ-32B,1314.0,+6/-6,8563,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B,2025-04-24,
19,24.0,Gemini-2.0-Flash-Lite,1311.0,+4/-4,23099,Google,Proprietary,Unknown,https://aistudio.google.com/prompts/new_chat?model=gemini-2.0-flash-lite,2025-04-24,
19,27.0,GLM-4-Plus-0111,1311.0,+8/-6,6024,Zhipu,Proprietary,Unknown,https://bigmodel.cn/dev/howuse/glm-4,2025-04-24,
19,24.0,Qwen-Plus-0125,1310.0,+7/-8,6056,Alibaba,Proprietary,Unknown,https://www.alibabacloud.com/help/en/model-studio/developer-reference/what-is-qwen-llm,2025-04-24,
20,24.0,o3-mini,1305.0,+4/-3,24941,OpenAI,Proprietary,Unknown,https://openai.com/index/openai-o3-mini/,2025-04-24,
20,24.0,Command A (03-2025),1305.0,+6/-6,8521,Cohere,CC-BY-NC-4.0,Unknown,https://cohere.com/blog/command-a,2025-04-24,
20,28.0,Step-2-16K-Exp,1305.0,+7/-6,5125,StepFun,Proprietary,Unknown,https://platform.stepfun.com/docs/llm/text,2025-04-24,
20,23.0,Hunyuan-TurboS-20250226,1302.0,+11/-10,2452,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
21,7.0,Claude 3.7 Sonnet (thinking-32k),1301.0,+7/-5,9952,Anthropic,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet,2025-04-24,
23,28.0,o1-mini,1304.0,+3/-3,54961,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/o1,2025-04-24,
23,31.0,Llama-3.3-Nemotron-Super-49B-v1,1296.0,+10/-8,2368,Nvidia,Nvidia,Unknown,https://huggingface.co/nvidia/Llama-3_3-Nemotron-Super-49B-v1,2025-04-24,
24,24.0,Gemini-1.5-Pro-002,1302.0,+2/-2,58652,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-pro-002,2025-04-24,
24,24.0,Hunyuan-Turbo-0110,1295.0,+9/-9,2512,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
30,15.0,Claude 3.7 Sonnet,1292.0,+6/-5,15281,Anthropic,Proprietary,Unknown,https://www.anthropic.com/news/claude-3-7-sonnet,2025-04-24,
32,35.0,Grok-2-08-13,1288.0,+2/-2,67096,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2,2025-04-24,
32,37.0,Yi-Lightning,1287.0,+3/-3,28976,01 AI,Proprietary,Unknown,https://platform.lingyiwanwu.com/docs#%E6%A8%A1%E5%9E%8B%E4%B8%8E%E8%AE%A1%E8%B4%B9,2025-04-24,
33,47.0,Qwen2.5-plus-1127,1282.0,+5/-5,10719,Alibaba,Proprietary,Unknown,https://help.aliyun.com/zh/model-studio/getting-started/models?spm=a2c4g.11186623.0.i7,2025-04-24,
34,25.0,GPT-4o-2024-05-13,1285.0,+2/-2,117751,OpenAI,Proprietary,2023/10,https://openai.com/index/hello-gpt-4o/,2025-04-24,
35,17.0,Claude 3.5 Sonnet (20241022),1283.0,+3/-2,65174,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/3-5-models-and-computer-use,2025-04-24,
36,41.0,Deepseek-v2.5-1210,1279.0,+6/-6,7239,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V2.5-1210,2025-04-24,
38,34.0,GPT-4.1-nano-2025-04-14,1271.0,+12/-9,2787,OpenAI,Proprietary,Unknown,https://openai.com/index/gpt-4-1/,2025-04-24,
39,49.0,Athene-v2-Chat-72B,1275.0,+3/-3,26086,NexusFlow,NexusFlow,Unknown,https://huggingface.co/Nexusflow/Athene-V2-Chat,2025-04-24,
39,35.0,Hunyuan-Large-2025-02-10,1272.0,+9/-8,3855,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
39,30.0,Llama-4-Maverick-17B-128E-Instruct,1271.0,+6/-7,5772,Meta,Llama 4,Unknown,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,2025-04-24,
40,45.0,GLM-4-Plus,1274.0,+2/-4,27786,Zhipu AI,Proprietary,Unknown,https://bigmodel.cn/dev/howuse/glm-4,2025-04-24,
40,47.0,GPT-4o-mini-2024-07-18,1272.0,+2/-2,71378,OpenAI,Proprietary,2023/10,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,2025-04-24,
40,53.0,Gemini-1.5-Flash-002,1271.0,+3/-3,37024,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-002,2025-04-24,
40,62.0,Llama-3.1-Nemotron-70B-Instruct,1269.0,+6/-5,7576,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct,2025-04-24,
42,30.0,Meta-Llama-3.1-405B-Instruct-bf16,1269.0,+3/-3,43785,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-04-24,
43,27.0,Claude 3.5 Sonnet (20240620),1268.0,+2/-3,86163,Anthropic,Proprietary,2024/4,https://www.anthropic.com/news/claude-3-5-sonnet,2025-04-24,
44,31.0,Meta-Llama-3.1-405B-Instruct-fp8,1267.0,+2/-2,63056,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-04-24,
44,30.0,Gemini Advanced App (2024-05-14),1267.0,+3/-3,52140,Google,Proprietary,Online,https://gemini.google.com/advanced,2025-04-24,
44,62.0,Grok-2-Mini-08-13,1266.0,+2/-2,55446,xAI,Proprietary,2024/3,https://x.ai/blog/grok-2,2025-04-24,
44,47.0,Hunyuan-Standard-2025-02-10,1261.0,+8/-8,4018,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
45,33.0,GPT-4o-2024-08-06,1265.0,+3/-2,47974,OpenAI,Proprietary,2023/10,https://platform.openai.com/docs/models/gpt-4o,2025-04-24,
45,47.0,Qwen-Max-0919,1263.0,+4/-3,17438,Alibaba,Qwen,Unknown,https://help.aliyun.com/zh/dashscope/developer-reference/model-introduction,2025-04-24,
55,43.0,Gemini-1.5-Pro-001,1260.0,+2/-2,82450,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-pro,2025-04-24,
55,56.0,Deepseek-v2.5,1258.0,+3/-3,26346,DeepSeek,DeepSeek,Unknown,https://huggingface.co/deepseek-ai/DeepSeek-V2.5,2025-04-24,
56,62.0,Qwen2.5-72B-Instruct,1257.0,+3/-3,41532,Alibaba,Qwen,2024/9,https://qwenlm.github.io/blog/qwen2.5/,2025-04-24,
56,42.0,GPT-4-Turbo-2024-04-09,1256.0,+2/-2,102153,OpenAI,Proprietary,2023/12,https://platform.openai.com/docs/models/gpt-4-turbo-and-gpt-4,2025-04-24,
56,47.0,Llama-3.3-70B-Instruct,1256.0,+3/-3,38099,Meta,Llama-3.3,Unknown,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,2025-04-24,
60,49.0,Mistral-Large-2407,1251.0,+2/-2,48214,Mistral,Mistral Research,2024/7,https://mistral.ai/news/mistral-large-2407/,2025-04-24,
60,62.0,Athene-70B,1250.0,+3/-3,20580,NexusFlow,CC-BY-NC-4.0,2024/7,https://huggingface.co/Nexusflow/Athene-70B,2025-04-24,
61,66.0,Llama-3.1-Tulu-3-70B,1244.0,+9/-9,3011,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B,2025-04-24,
62,47.0,GPT-4-1106-preview,1250.0,+2/-2,103739,OpenAI,Proprietary,2023/4,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,2025-04-24,
62,62.0,Mistral-Large-2411,1249.0,+3/-3,29493,Mistral,MRL,Unknown,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,2025-04-24,
62,68.0,Meta-Llama-3.1-70B-Instruct,1248.0,+2/-2,58650,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-04-24,
63,45.0,Claude 3 Opus,1247.0,+2/-2,202698,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-04-24,
64,69.0,Amazon Nova Pro 1.0,1244.0,+3/-3,24768,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-04-24,
65,51.0,GPT-4-0125-preview,1245.0,+2/-2,97064,OpenAI,Proprietary,2023/12,https://openai.com/blog/new-models-and-developer-products-announced-at-devday,2025-04-24,
70,47.0,Claude 3.5 Haiku (20241022),1237.0,+3/-3,34282,Anthropic,Propretary,Unknown,https://www.anthropic.com/news/3-5-models-and-computer-use,2025-04-24,
70,68.0,Reka-Core-20240904,1235.0,+5/-5,7941,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-04-24,
73,70.0,Gemini-1.5-Flash-001,1227.0,+2/-3,65656,Google,Proprietary,2023/11,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.5-flash,2025-04-24,
73,69.0,Jamba-1.5-Large,1222.0,+6/-6,9122,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba,2025-04-24,
73,78.0,Qwen2.5-Coder-32B-Instruct,1217.0,+7/-6,5731,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,2025-04-24,
74,70.0,Gemma-2-27B-it,1220.0,+2/-2,79532,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-27b-it,2025-04-24,
74,78.0,Mistral-Small-24B-Instruct-2501,1217.0,+4/-4,15089,Mistral,Apache 2.0,Unknown,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,2025-04-24,
74,85.0,Amazon Nova Lite 1.0,1217.0,+4/-4,20653,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-04-24,
74,71.0,Gemma-2-9B-it-SimPO,1216.0,+6/-5,10548,Princeton,MIT,2024/7,https://huggingface.co/princeton-nlp/gemma-2-9b-it-SimPO,2025-04-24,
74,73.0,Command R+ (08-2024),1215.0,+5/-5,10534,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details,2025-04-24,
74,68.0,Llama-3.1-Nemotron-51B-Instruct,1211.0,+10/-8,3889,Nvidia,Llama 3.1,2023/12,https://huggingface.co/nvidia/Llama-3_1-Nemotron-51B-Instruct,2025-04-24,
75,88.0,Gemini-1.5-Flash-8B-001,1212.0,+4/-3,37691,Google,Proprietary,Unknown,https://aistudio.google.com/app/prompts/new_chat?instructions=lmsys&model=gemini-1.5-flash-8b,2025-04-24,
78,83.0,Aya-Expanse-32B,1209.0,+3/-3,28752,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-32b,2025-04-24,
78,75.0,Nemotron-4-340B-Instruct,1209.0,+3/-4,20614,Nvidia,NVIDIA Open Model,2023/6,https://huggingface.co/nvidia/Nemotron-4-340B-Instruct,2025-04-24,
78,80.0,GLM-4-0520,1207.0,+5/-5,10222,Zhipu AI,Proprietary,Unknown,https://open.bigmodel.cn/dev/api#language,2025-04-24,
79,76.0,Reka-Flash-20240904,1205.0,+6/-5,8136,Reka AI,Proprietary,Unknown,https://docs.reka.ai/available-models,2025-04-24,
82,78.0,Llama-3-70B-Instruct,1207.0,+1/-2,163662,Meta,Llama 3 Community,2023/12,https://llama.meta.com/llama3/,2025-04-24,
82,90.0,Phi-4,1205.0,+3/-3,25228,Microsoft,MIT,Unknown,https://huggingface.co/microsoft/phi-4,2025-04-24,
86,76.0,Claude 3 Sonnet,1201.0,+1/-2,113053,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-04-24,
88,98.0,Amazon Nova Micro 1.0,1198.0,+4/-4,20658,Amazon,Proprietary,Unknown,https://docs.aws.amazon.com/nova/latest/userguide/what-is-nova.html,2025-04-24,
90,88.0,Gemma-2-9B-it,1192.0,+2/-3,57206,Google,Gemma license,2024/6,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-9b-it,2025-04-24,
90,98.0,Hunyuan-Standard-256K,1189.0,+9/-11,2902,Tencent,Proprietary,Unknown,https://cloud.tencent.com/document/product/1729/104753,2025-04-24,
90,100.0,Llama-3.1-Tulu-3-8B,1185.0,+9/-11,3076,Ai2,Llama 3.1,Unknown,https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B,2025-04-24,
91,85.0,Command R+ (04-2024),1190.0,+2/-2,80848,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r-plus-microsoft-azure/,2025-04-24,
91,87.0,Qwen2-72B-Instruct,1187.0,+2/-3,38886,Alibaba,Qianwen LICENSE,2024/6,https://qwenlm.github.io/blog/qwen2/,2025-04-24,
92,73.0,GPT-4-0314,1186.0,+2/-2,55970,OpenAI,Proprietary,2021/9,https://openai.com/research/gpt-4,2025-04-24,
92,98.0,Ministral-8B-2410,1182.0,+7/-6,5108,Mistral,MRL,Unknown,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,2025-04-24,
93,100.0,Aya-Expanse-8B,1180.0,+6/-5,10397,Cohere,CC-BY-NC-4.0,Unknown,https://huggingface.co/CohereForAI/aya-expanse-8b,2025-04-24,
95,90.0,Command R (08-2024),1179.0,+3/-5,10843,Cohere,CC-BY-NC-4.0,2024/8,https://docs.cohere.com/docs/command-r-plus#model-details,2025-04-24,
95,90.0,Claude 3 Haiku,1179.0,+2/-2,122315,Anthropic,Proprietary,2023/8,https://www.anthropic.com/news/claude-3-family,2025-04-24,
95,85.0,DeepSeek-Coder-V2-Instruct,1178.0,+4/-4,15757,DeepSeek AI,DeepSeek License,2024/6,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,2025-04-24,
95,98.0,Jamba-1.5-Mini,1176.0,+5/-6,9273,AI21 Labs,Jamba Open,2024/3,https://www.ai21.com/jamba,2025-04-24,
95,114.0,Meta-Llama-3.1-8B-Instruct,1176.0,+2/-3,52586,Meta,Llama 3.1 Community,2023/12,https://ai.meta.com/blog/meta-llama-3-1/,2025-04-24,
104,84.0,GPT-4-0613,1163.0,+2/-2,91638,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-4-and-gpt-4-turbo,2025-04-24,
104,99.0,Qwen1.5-110B-Chat,1161.0,+3/-3,27438,Alibaba,Qianwen LICENSE,2024/4,https://qwenlm.github.io/blog/qwen1.5-110b/,2025-04-24,
104,132.0,QwQ-32B-Preview,1153.0,+8/-11,3412,Alibaba,Apache 2.0,Unknown,https://huggingface.co/Qwen/QwQ-32B-Preview,2025-04-24,
105,113.0,Yi-1.5-34B-Chat,1157.0,+3/-4,25131,01 AI,Apache-2.0,2024/5,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,2025-04-24,
105,98.0,Mistral-Large-2402,1157.0,+2/-2,64917,Mistral,Proprietary,Unknown,https://mistral.ai/news/mistral-large/,2025-04-24,
105,100.0,Reka-Flash-21B-online,1156.0,+5/-5,16032,Reka AI,Proprietary,Online,https://docs.reka.ai/http-api.html#generation,2025-04-24,
107,108.0,Llama-3-8B-Instruct,1152.0,+2/-2,109091,Meta,Llama 3 Community,2023/3,https://llama.meta.com/llama3/,2025-04-24,
107,120.0,InternLM2.5-20B-chat,1149.0,+5/-5,10596,InternLM,Other,2024/8,https://huggingface.co/internlm/internlm2_5-20b-chat,2025-04-24,
108,103.0,Command R (04-2024),1149.0,+2/-3,56381,Cohere,CC-BY-NC-4.0,2024/3,https://txt.cohere.com/command-r,2025-04-24,
108,110.0,Granite-3.1-8B-Instruct,1142.0,+10/-10,3293,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-8b-instruct,2025-04-24,
109,108.0,Mistral Medium,1148.0,+3/-3,35564,Mistral,Proprietary,Unknown,https://mistral.ai/news/la-plateforme/,2025-04-24,
109,103.0,Mixtral-8x22b-Instruct-v0.1,1148.0,+2/-3,53758,Mistral,Apache 2.0,2024/4,https://mistral.ai/news/mixtral-8x22b/,2025-04-24,
109,108.0,Reka-Flash-21B,1147.0,+3/-3,25807,Reka AI,Proprietary,2023/11,https://www.reka.ai/news/reka-flash-efficient-and-capable-multimodal-language-models,2025-04-24,
109,103.0,Qwen1.5-72B-Chat,1147.0,+3/-3,40670,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-04-24,
110,121.0,Gemma-2-2b-it,1144.0,+2/-2,48902,Google,Gemma license,2024/7,https://aistudio.google.com/app/prompts/new_chat?model=gemma-2-2b-it,2025-04-24,
118,103.0,Gemini-1.0-Pro-001,1131.0,+4/-4,18801,Google,Proprietary,2023/4,https://aistudio.google.com/app/prompts/new_chat?model=gemini-1.0-pro,2025-04-24,
118,114.0,Zephyr-ORPO-141b-A35b-v0.1,1127.0,+8/-7,4860,HuggingFace,Apache 2.0,2024/4,https://huggingface.co/HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,2025-04-24,
119,115.0,Qwen1.5-32B-Chat,1125.0,+4/-4,22757,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5-32b/,2025-04-24,
119,123.0,Granite-3.1-2B-Instruct,1119.0,+10/-10,3383,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.1-2b-instruct,2025-04-24,
120,121.0,Phi-3-Medium-4k-Instruct,1123.0,+3/-4,26109,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-medium-4k-instruct,2025-04-24,
120,132.0,Starling-LM-7B-beta,1119.0,+4/-4,16674,Nexusflow,Apache-2.0,2024/3,https://huggingface.co/Nexusflow/Starling-LM-7B-beta,2025-04-24,
123,121.0,Mixtral-8x7B-Instruct-v0.1,1114.0,+2/-3,76140,Mistral,Apache 2.0,2023/12,https://mistral.ai/news/mixtral-of-experts/,2025-04-24,
123,126.0,Yi-34B-Chat,1111.0,+5/-5,15918,01 AI,Yi License,2023/6,https://huggingface.co/01-ai/Yi-34B-Chat,2025-04-24,
123,111.0,Gemini Pro,1111.0,+6/-7,6556,Google,Proprietary,2023/4,https://blog.google/technology/ai/gemini-api-developers-cloud/,2025-04-24,
124,125.0,Qwen1.5-14B-Chat,1109.0,+4/-4,18683,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-04-24,
124,125.0,WizardLM-70B-v1.0,1106.0,+6/-6,8385,Microsoft,Llama 2 Community,2023/8,https://huggingface.co/WizardLM/WizardLM-70B-V1.0,2025-04-24,
126,111.0,GPT-3.5-Turbo-0125,1106.0,+2/-3,68869,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5-turbo,2025-04-24,
126,129.0,Meta-Llama-3.2-3B-Instruct,1103.0,+6/-7,8400,Meta,Llama 3.2,2023/12,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,2025-04-24,
126,129.0,Phi-3-Small-8k-Instruct,1102.0,+5/-5,18472,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-small-8k-instruct,2025-04-24,
127,121.0,DBRX-Instruct-Preview,1103.0,+3/-4,33738,Databricks,DBRX LICENSE,2023/12,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,2025-04-24,
127,129.0,Tulu-2-DPO-70B,1099.0,+7/-7,6658,AllenAI/UW,AI2 ImpACT Low-risk,2023/11,https://huggingface.co/allenai/tulu-2-dpo-70b,2025-04-24,
131,121.0,Granite-3.0-8B-Instruct,1093.0,+7/-8,7001,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,2025-04-24,
133,127.0,OpenChat-3.5-0106,1091.0,+5/-5,12989,OpenChat,Apache-2.0,2024/1,https://huggingface.co/openchat/openchat-3.5-0106,2025-04-24,
134,141.0,Llama-2-70B-chat,1093.0,+2/-3,39605,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,2025-04-24,
134,135.0,Vicuna-33B,1091.0,+4/-3,22946,LMSYS,Non-commercial,2023/8,https://huggingface.co/lmsys/vicuna-33b-v1.3,2025-04-24,
134,126.0,Snowflake Arctic Instruct,1090.0,+4/-5,34176,Snowflake,Apache 2.0,2024/4,https://www.snowflake.com/blog/arctic-open-efficient-foundation-language-models-snowflake/,2025-04-24,
134,136.0,Starling-LM-7B-alpha,1088.0,+5/-5,10417,UC Berkeley,CC-BY-NC-4.0,2023/11,https://huggingface.co/berkeley-nest/Starling-LM-7B-alpha,2025-04-24,
134,143.0,Nous-Hermes-2-Mixtral-8x7B-DPO,1084.0,+9/-10,3838,NousResearch,Apache-2.0,2024/1,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2025-04-24,
136,141.0,NV-Llama2-70B-SteerLM-Chat,1080.0,+9/-12,3636,Nvidia,Llama 2 Community,2023/11,https://huggingface.co/nvidia/Llama2-70B-SteerLM-Chat,2025-04-24,
137,129.0,Gemma-1.1-7B-it,1084.0,+4/-3,25068,Google,Gemma license,2024/2,https://huggingface.co/google/gemma-1.1-7b-it,2025-04-24,
140,129.0,DeepSeek-LLM-67B-Chat,1077.0,+7/-9,4988,DeepSeek AI,DeepSeek License,2023/11,https://huggingface.co/deepseek-ai/deepseek-llm-67b-chat,2025-04-24,
141,129.0,OpenChat-3.5,1076.0,+5/-6,8106,OpenChat,Apache-2.0,2023/11,https://huggingface.co/openchat/openchat_3.5,2025-04-24,
141,132.0,OpenHermes-2.5-Mistral-7B,1074.0,+6/-6,5086,NousResearch,Apache-2.0,2023/11,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,2025-04-24,
142,136.0,Granite-3.0-2B-Instruct,1074.0,+6/-7,7186,IBM,Apache 2.0,Unknown,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,2025-04-24,
142,147.0,Mistral-7B-Instruct-v0.2,1072.0,+4/-4,20066,Mistral,Apache-2.0,2023/12,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,2025-04-24,
142,147.0,Phi-3-Mini-4K-Instruct-June-24,1071.0,+5/-5,12804,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,2025-04-24,
142,147.0,Qwen1.5-7B-Chat,1070.0,+7/-8,4871,Alibaba,Qianwen LICENSE,2024/2,https://qwenlm.github.io/blog/qwen1.5/,2025-04-24,
142,143.0,Dolphin-2.2.1-Mistral-7B,1063.0,+13/-12,1713,Cognitive Computations,Apache-2.0,2023/10,https://huggingface.co/ehartford/dolphin-2.2.1-mistral-7b,2025-04-24,
143,123.0,GPT-3.5-Turbo-1106,1068.0,+4/-5,17034,OpenAI,Proprietary,2021/9,https://platform.openai.com/docs/models/gpt-3-5,2025-04-24,
144,151.0,Phi-3-Mini-4k-Instruct,1066.0,+4/-4,21094,Microsoft,MIT,2023/10,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,2025-04-24,
144,145.0,SOLAR-10.7B-Instruct-v1.0,1062.0,+7/-10,4289,Upstage AI,CC-BY-NC-4.0,2023/11,https://huggingface.co/upstage/SOLAR-10.7B-Instruct-v1.0,2025-04-24,
147,152.0,Llama-2-13b-chat,1063.0,+4/-4,19717,Meta,Llama 2 Community,2023/7,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,2025-04-24,
150,147.0,WizardLM-13b-v1.2,1059.0,+5/-6,7176,Microsoft,Llama 2 Community,2023/7,https://huggingface.co/WizardLM/WizardLM-13B-V1.2,2025-04-24,
153,157.0,Meta-Llama-3.2-1B-Instruct,1054.0,+7/-7,8517,Meta,Llama 3.2,2023/12,https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/,2025-04-24,
154,154.0,Zephyr-7B-beta,1053.0,+5/-5,11320,HuggingFace,MIT,2023/10,https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,2025-04-24,
